Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits
42101014900,3967,1633,0,1,1,41.917502787068,27083.0,0,1,696.196768760681,196.798611193895,170.494348347187,,,166.178926020861,,685
42101015101,2038,782,0,1,1,48.6799444187124,30417.0,0,1,580.63726747036,234.755668327212,97.8444835133851,,,164.542599536479,,369
42101015102,4269,1794,0,0,1,45.2781371280724,25208.0,0,0,258.339945793152,109.486548423767,54.8657603263855,,,82.1182744503021,,908
42101015200,6133,1936,0,0,1,53.9405560882071,23341.0,0,0,,,,,,,,871
42101015300,4962,1434,0,1,1,64.0883977900553,26548.0,0,1,1781.85681331158,293.155927315354,117.304746471345,,,158.27278200537,,215
42101015600,1741,607,0,0,1,43.0054978619426,25185.0,0,0,,,,,,,,322
42101015700,2641,936,0,0,1,27.0497803806735,44688.0,0,0,,,,,,,,276
42101015800,5684,2598,0,0,0,10.8406410644088,104511.0,0,1,215.00726377964,73.0971488952637,49.2262971997261,,,31.1559601724148,,309
42101016000,7002,2854,0,0,1,14.502383359815099,65724.0,0,0,,,,,,,,444
42101016100,5590,1945,0,0,1,23.0236983220896,55500.0,0,0,,,,,,,,590
42101016200,2225,769,0,0,1,43.8344594594595,31318.0,0,0,,,,,,,,446
42101016300,3248,1031,0,0,1,46.907514450867,19748.0,0,0,,,,,,,,816
42101016400,4564,1485,0,0,1,43.4345641249727,33023.0,0,0,,,,,,,,1086
42101016500,2758,989,0,0,1,69.5954487989886,14159.0,0,0,,,,,,,,606
42101016600,1788,586,0,0,1,49.8735777496839,,0,0,,,,,,,,248
42101016701,3055,1171,0,0,1,39.671120246659804,34500.0,0,0,31.0983723189432,12.6940840734534,5.88543027093604,,,7.31142673635117,,363
42101016702,2903,1119,0,0,1,46.3821138211382,27364.0,0,0,18.0448997616768,5.99205702543259,2.24936478585005,,,4.05984255671501,,440
42101016800,3935,1515,0,0,1,45.7337883959044,26250.0,0,0,,,,,,,,658
42101016901,3466,1364,0,0,1,38.7893982808023,33190.0,0,0,,,,,,,,574
42101016902,5524,2191,0,1,1,49.263943603566204,20703.0,0,1,900.028379797935,308.90473985672,147.701945394278,,,219.933544665575,,843
42101017000,2953,1216,0,0,1,26.4685556323428,64000.0,0,0,33.7032260298729,47.1289343833923,25.3605943322182,,,18.6645176112652,,285
42101017100,4047,1570,0,0,1,17.0658682634731,47527.0,0,0,133.8899487257,69.1184693574905,56.8029932975769,,,40.7468596100807,,558
42101017201,3194,1289,0,0,1,26.4478764478765,56016.0,0,0,149.351714253426,103.070116519928,56.2622909545898,,,69.7242728471756,,477
42101017202,4056,1593,0,0,1,35.804549283909,29100.0,0,0,,,,,,,,626
42101017300,3165,1164,0,0,1,38.0047505938242,25691.0,0,0,108.019136190414,37.8010582029819,17.8076890259981,,,23.8686156272888,,559
42101017400,2419,918,0,0,1,49.4334872010071,26302.0,0,0,16.9096757890657,8.14531633118168,3.38106502202572,,,4.07258892414393,,432
42101017500,7016,2274,0,0,1,52.2502122841778,21929.0,0,0,0.970820546150208,0.602730691432953,0.0,,,0.223547920584679,,1429
42101017601,5562,1834,0,0,1,55.3427419354839,18983.0,0,0,,,,,,,,1203
42101017602,3914,1199,0,0,1,60.2859778597786,24056.0,0,0,,,,,,,,880
42101017701,3705,1088,0,1,1,56.98080279232109,22250.0,0,1,2041.99851762131,1042.56516950764,72.2439696760848,,,488.01207922399,,679
42101017702,5076,1544,0,0,1,62.289156626506006,17961.0,0,0,,,,,,,,1119
42101017800,6704,2059,0,1,1,51.7798764983654,24318.0,0,1,931.276902198792,466.974722981453,53.4128260239959,,,271.653741836548,,1334
42101017900,6313,2095,0,0,1,34.0076223981237,34722.0,0,0,,,,,,,,1087
